No.,StatusOrtu,Penghasilan,Status_Rumah,JMotor,Jmobil,DayaLis,KIPK
591,1,10400000,0,2,1,2,0
592,1,3000000,1,1,0,1,0
593,1,3000000,1,3,1,2,0
594,1,1000000,1,0,0,1,1
595,1,19000000,1,2,0,3,0
596,1,10500000,1,4,0,3,0
597,1,4300000,1,2,0,3,0
598,1,6000000,1,4,1,2,0
599,1,1000000,1,1,0,1,0
600,1,6000000,1,3,1,3,0
601,1,6500000,1,3,1,3,0
602,1,5000000,1,2,1,3,0
603,1,10000000,1,2,1,2,0
604,1,3000000,1,2,0,1,0
605,1,4438200,1,2,1,3,0
606,2,10000000,1,2,0,3,0
607,1,4000000,1,2,0,3,0
608,1,5000000,1,3,1,3,0
609,1,4000000,1,2,0,2,0
610,1,3300000,0,2,0,2,0
611,1,5000000,0,1,0,3,1
612,1,3000000,1,4,0,2,0
613,1,3000000,1,2,0,3,0
614,1,5000000,1,2,1,2,0
615,1,2200000,0,2,0,2,0
616,1,3500000,1,2,0,2,0
617,1,4000000,0,2,0,2,0
618,1,3500000,1,3,1,2,0
619,1,4500000,0,2,0,2,0
620,1,1500000,0,2,0,1,0
621,1,45000000,1,1,0,3,0
622,1,1000000,1,1,0,2,1
623,1,19000000,1,2,1,3,0
624,1,10658200,1,4,1,3,0
625,1,6300000,0,2,0,2,0
626,1,5000000,1,3,1,3,0
627,1,1500000,1,2,0,2,0
628,1,10000000,1,3,1,3,0
629,1,7000000,1,3,1,3,0
630,1,7000000,1,3,2,3,0
631,1,6500000,1,2,0,3,0
632,1,13200000,1,2,0,3,0
633,1,7500000,1,3,1,3,0
634,1,1500000,1,1,0,2,1
635,1,8000000,1,2,0,2,0
636,1,0,1,4,0,2,0
637,1,3000000,1,3,1,2,0
638,1,4000000,1,1,1,2,0
639,1,7500000,1,2,0,2,0
640,1,2000000,0,2,0,3,0
641,2,1000000,1,1,0,1,1
642,1,6500000,1,2,0,2,0
643,4,1982000,1,2,0,2,0
644,1,10000000,1,2,0,3,0
645,1,10000000,1,2,1,3,0
646,1,6000000,1,2,0,2,0
647,1,3000000,1,1,0,2,1
648,1,30000000,1,3,1,3,0
649,1,6000000,1,2,0,3,0
650,1,6300000,1,2,0,2,0
651,1,4500000,1,2,1,2,0
652,1,7900000,0,2,1,3,0
653,1,1250000,1,1,0,2,1
654,1,4000000,0,2,0,2,0
655,1,4182287,0,2,0,2,1
656,1,5000000,0,2,0,2,0
657,1,1172500,0,2,0,2,0
658,1,4000000,0,2,1,2,0
659,1,2000000,1,1,0,2,0
660,1,5000000,1,1,1,2,0
661,4,0,1,1,0,2,0
662,1,3000000,1,2,0,2,1
663,1,1800000,0,2,0,3,1
664,1,8700000,1,3,1,3,0
665,1,2700000,1,1,0,1,1
666,1,10000000,1,1,1,3,0
667,1,3000000,1,1,0,2,0
668,1,3800000,1,3,0,3,0
669,1,4500000,0,2,0,2,0
670,1,5000000,1,2,0,3,0
671,1,4500000,0,2,0,2,0
672,1,8600000,1,2,1,2,0
673,1,4000000,1,2,0,3,0
674,1,4000000,1,2,1,3,0
675,1,15000000,1,3,1,2,0
676,1,3000000,1,3,0,2,0
677,1,0,1,1,0,3,0
678,1,1500000,1,1,0,1,1
679,1,5000000,1,2,1,2,0
680,1,5000000,1,2,1,2,0
681,1,10000000,1,2,2,3,0
682,1,5000000,1,1,0,2,0
683,1,5500000,0,3,1,3,0
684,1,1750000,1,1,0,1,1
685,1,2530489,1,1,0,2,1
686,1,5000000,1,1,1,3,0
687,1,15000000,1,3,2,3,0
688,1,4500000,1,3,1,2,0
689,1,1750000,0,2,0,2,1
690,1,7000000,1,2,1,3,0
691,1,10000000,1,2,1,2,0
692,1,3500000,1,3,0,2,0
693,4,4000000,0,2,0,2,0
694,1,3500000,1,1,0,2,0
695,1,10000000,1,1,1,3,0
696,1,7000000,1,3,1,3,0
697,1,1000000,1,2,0,1,0
698,1,14000000,1,1,0,3,0
699,1,5000000,1,3,0,3,0
700,1,300000,1,2,0,3,0
701,1,3700000,0,3,0,3,1
702,1,3000000,1,2,0,2,0
703,1,6250000,1,3,1,3,0
704,1,5500000,0,2,0,3,0
705,1,3000000,1,2,0,2,0
706,1,3500000,0,2,0,2,0
707,1,4000000,1,2,0,1,0
708,2,1300000,1,1,0,2,1
709,1,2000000,1,1,0,2,0
710,1,3500000,1,1,1,3,0
711,1,2700000,1,3,0,2,0
712,1,2500000,1,3,1,2,0
713,1,5000000,1,4,0,2,0
714,1,2850000,0,2,0,2,0
715,1,5600000,1,3,0,2,0
716,1,4000000,0,2,0,2,0
717,1,0,1,3,1,2,0
718,1,1200000,1,3,0,3,0
719,1,800000,1,2,0,2,0
720,1,2499000,1,1,0,1,0
721,1,8300000,1,2,1,2,0
722,1,8980400,1,2,1,2,0
723,2,8000000,1,2,1,3,0
724,1,8000000,1,2,1,3,0
725,1,1500000,1,1,0,2,0
726,1,3500000,0,1,0,1,0
727,1,5100000,0,1,0,3,0
728,1,2000000,1,1,0,2,0
729,1,3250000,0,2,0,3,1
730,1,600000,1,1,0,1,1
731,1,0,0,1,0,3,1
732,1,5000000,1,2,1,3,0
733,2,0,1,2,0,2,0
734,1,5000000,1,1,1,1,0
735,1,4400000,1,1,1,3,0
736,1,8000000,1,2,1,3,0
737,1,10000000,1,3,0,3,0
738,1,7500000,1,1,1,3,0
739,1,6000000,1,1,1,3,0
740,1,10000000,1,3,1,3,0
741,2,1000000,1,2,0,3,1
742,1,6000000,1,2,0,3,0
743,1,600000,1,1,0,1,0
744,1,18500000,1,2,1,3,0
745,1,13632102,0,2,0,3,0
746,1,3500000,1,2,0,3,0
747,1,9000000,1,2,0,2,0
748,2,1500000,1,1,1,2,0
749,1,4200000,1,3,1,3,0
750,1,0,1,1,1,3,0
751,1,9252493,0,2,0,3,0
752,1,7500000,1,2,0,3,0
753,2,1000000,1,1,0,1,1
754,2,6305000,1,2,0,3,0
755,2,1000000,0,1,0,3,1
756,1,3500000,1,3,0,3,0
757,1,0,1,2,1,3,0
758,1,7900000,1,2,1,2,0
759,1,1500000,1,2,0,2,0
760,1,10000000,1,2,1,3,0
761,1,2400000,1,1,0,2,0
762,1,1500000,1,1,1,3,0
763,1,6000000,1,2,1,3,0
764,1,8035300,1,2,0,2,0
765,1,3000000,1,2,0,1,1
766,1,25000000,0,2,1,3,0
